,SensorId,L1H,L1T,L2H,L2T,L3H,L3T,TS
0,E53490B59A25,17.9438,14.0,29.3852,15.8,41.9258,16.5,2020-05-05 06:13:09+00:00
1,E53490B59A25,18.5554,14.7,29.7637,15.8,42.0087,16.5,2020-05-05 06:18:13+00:00
2,E53490B59A25,18.5016,14.7,30.426,15.7,42.2422,16.5,2020-05-05 06:23:17+00:00
4,E53490B59A25,18.7083,14.7,30.5203,15.7,42.2865,16.4,2020-05-05 06:28:22+00:00
5,E53490B59A25,19.2017,14.7,30.5848,15.7,42.3218,16.4,2020-05-05 06:33:25+00:00
6,E53490B59A25,19.6314,14.7,30.719,15.7,42.3727,16.4,2020-05-05 06:38:29+00:00
7,E53490B59A25,19.905,14.8,30.7802,15.7,42.3798,16.4,2020-05-05 06:43:42+00:00
9,E53490B59A25,20.1167,14.8,30.8211,15.7,42.3916,16.4,2020-05-05 06:48:48+00:00
10,E53490B59A25,20.2786,14.8,30.904,15.7,42.4537,16.4,2020-05-05 06:53:51+00:00
11,E53490B59A25,20.4598,14.8,30.9395,15.7,42.4766,16.4,2020-05-05 06:58:54+00:00
12,E53490B59A25,20.6218,14.9,30.939,15.7,42.4887,16.4,2020-05-05 07:03:58+00:00
13,E53490B59A25,20.676,14.9,30.9516,15.7,42.5138,16.3,2020-05-05 07:09:01+00:00
14,E53490B59A25,20.7115,15.0,30.9538,15.7,42.5243,16.3,2020-05-05 07:14:05+00:00
15,E53490B59A25,20.7289,15.0,30.9379,15.7,42.525,16.3,2020-05-05 07:19:08+00:00
16,E53490B59A25,20.7768,15.1,30.9358,15.7,42.5146,16.3,2020-05-05 07:24:11+00:00
17,E53490B59A25,20.8372,15.1,30.9505,15.7,42.5293,16.3,2020-05-05 07:29:15+00:00
18,E53490B59A25,20.8772,15.2,30.9488,15.8,42.5401,16.3,2020-05-05 07:34:29+00:00
19,E53490B59A25,20.9815,15.3,30.9699,15.8,42.5695,16.3,2020-05-05 07:39:33+00:00
20,E53490B59A25,21.0057,15.4,30.9858,15.8,42.5854,16.3,2020-05-05 07:44:36+00:00
